Area,Births,Population,Year
Argyll and Bute,780,91300,2001
Dumfries and Galloway,1283,147780,2001
Scottish Borders,1066,106950,2001
South Ayrshire,1056,112160,2001
Argyll and Bute,755,91020,2002
Dumfries and Galloway,1343,147670,2002
Scottish Borders,1021,107530,2002
South Ayrshire,955,111690,2002
Argyll and Bute,732,90930,2003
Dumfries and Galloway,1307,147860,2003
Scottish Borders,1048,108400,2003
South Ayrshire,984,111550,2003
Argyll and Bute,807,90580,2004
Dumfries and Galloway,1431,148690,2004
Scottish Borders,1052,109460,2004
South Ayrshire,1030,111840,2004
Argyll and Bute,773,90350,2005
Dumfries and Galloway,1407,149620,2005
Scottish Borders,1047,110250,2005
South Ayrshire,976,112030,2005
Argyll and Bute,781,90870,2006
Dumfries and Galloway,1471,149780,2006
Scottish Borders,1111,110860,2006
South Ayrshire,1012,112100,2006
Argyll and Bute,741,90790,2007
Dumfries and Galloway,1507,150370,2007
Scottish Borders,1170,112200,2007
South Ayrshire,1029,112380,2007
Argyll and Bute,807,89910,2008
Dumfries and Galloway,1430,151010,2008
Scottish Borders,1138,113360,2008
South Ayrshire,1067,112610,2008
Argyll and Bute,815,89450,2009
Dumfries and Galloway,1507,151160,2009
Scottish Borders,1159,113590,2009
South Ayrshire,1054,112490,2009
Argyll and Bute,763,88620,2010
Dumfries and Galloway,1445,151100,2010
Scottish Borders,1161,113690,2010
South Ayrshire,1035,112600,2010
Argyll and Bute,745,88930,2011
Dumfries and Galloway,1396,151410,2011
Scottish Borders,1108,113880,2011
South Ayrshire,1073,112980,2011
Argyll and Bute,765,86910,2012
Dumfries and Galloway,1390,150840,2012
Scottish Borders,1140,113720,2012
South Ayrshire,997,112920,2012
Argyll and Bute,709,88050,2013
Dumfries and Galloway,1327,150280,2013
Scottish Borders,1138,113880,2013
South Ayrshire,998,112870,2013
Argyll and Bute,727,87650,2014
Dumfries and Galloway,1286,149960,2014
Scottish Borders,1081,114040,2014
South Ayrshire,1033,112530,2014
Argyll and Bute,688,86890,2015
Dumfries and Galloway,1256,149670,2015
Scottish Borders,1037,114030,2015
South Ayrshire,1030,112400,2015
Argyll and Bute,699,87130,2016
Dumfries and Galloway,1318,149520,2016
Scottish Borders,1005,114530,2016
South Ayrshire,976,112470,2016
Uist,46,4854,2001
Uist,46,4776,2002
Uist,46,4808,2003
Uist,41,4816,2004
Uist,54,4809,2005
Uist,47,4934,2006
Uist,40,4863,2007
Uist,30,4862,2008
Uist,40,4873,2009
Uist,57,4865,2010
Uist,33,4862,2011
Uist,38,4790,2012
Uist,34,4805,2013
Uist,38,4745,2014
Uist,42,4736,2015
Uist,44,4679,2016
Scotland,52527,5064200,2001
Scotland,51270,5066000,2002
Scotland,52432,5068500,2003
Scotland,53957,5084300,2004
Scotland,54386,5110200,2005
Scotland,55690,5133100,2006
Scotland,57781,5170000,2007
Scotland,60041,5202900,2008
Scotland,59046,5231900,2009
Scotland,58791,5262200,2010
Scotland,58590,5299900,2011
Scotland,58027,5313600,2012
Scotland,56014,5327700,2013
Scotland,56725,5347600,2014
Scotland,55098,5373000,2015
Scotland,54488,5404700,2016
Western Isles,226,26450,2001
Western Isles,242,26350,2002
Western Isles,255,26430,2003
Western Isles,223,26650,2004
Western Isles,233,26930,2005
Western Isles,274,27060,2006
Western Isles,263,27210,2007
Western Isles,257,27280,2008
Western Isles,227,27420,2009
Western Isles,235,27600,2010
Western Isles,235,27690,2011
Western Isles,237,27560,2012
Western Isles,246,27400,2013
Western Isles,226,27250,2014
Western Isles,222,27070,2015
Western Isles,238,26900,2016
