Year,Area,Gender,Age_Bands,Population
2001,Scotland,Female,0 - 4,134489
2001,Scotland,Female,5 - 9,149458
2001,Scotland,Female,10 - 14,157184
2001,Scotland,Female,15 - 19,156472
2001,Scotland,Female,20 - 24,157686
2001,Scotland,Female,25 - 29,161764
2001,Scotland,Female,30 - 34,197055
2001,Scotland,Female,35 - 39,208542
2001,Scotland,Female,40 - 44,194330
2001,Scotland,Female,45 - 49,170983
2001,Scotland,Female,50 - 54,176945
2001,Scotland,Female,55 - 59,148159
2001,Scotland,Female,60 - 64,136929
2001,Scotland,Female,65 - 69,129209
2001,Scotland,Female,70 - 74,116938
2001,Scotland,Female,75 - 79,99422
2001,Scotland,Female,80 - 84,69156
2001,Scotland,Female,85 - 89,42728
2001,Scotland,Female,90+,23018
2001,Scotland,Male,0 - 4,141772
2001,Scotland,Male,5 - 9,156355
2001,Scotland,Male,10 - 14,165739
2001,Scotland,Male,15 - 19,161133
2001,Scotland,Male,20 - 24,157709
2001,Scotland,Male,25 - 29,153121
2001,Scotland,Male,30 - 34,184182
2001,Scotland,Male,35 - 39,194690
2001,Scotland,Male,40 - 44,184558
2001,Scotland,Male,45 - 49,167225
2001,Scotland,Male,50 - 54,173938
2001,Scotland,Male,55 - 59,141979
2001,Scotland,Male,60 - 64,124622
2001,Scotland,Male,65 - 69,110255
2001,Scotland,Male,70 - 74,90240
2001,Scotland,Male,75 - 79,66194
2001,Scotland,Male,80 - 84,36973
2001,Scotland,Male,85 - 89,16681
2001,Scotland,Male,90+,6367
2009,Scotland,Female,0 - 4,140263
2009,Scotland,Female,5 - 9,131675
2009,Scotland,Female,10 - 14,145983
2009,Scotland,Female,15 - 19,164166
2009,Scotland,Female,20 - 24,175413
2009,Scotland,Female,25 - 29,172415
2009,Scotland,Female,30 - 34,157181
2009,Scotland,Female,35 - 39,184208
2009,Scotland,Female,40 - 44,207690
2009,Scotland,Female,45 - 49,205760
2009,Scotland,Female,50 - 54,184324
2009,Scotland,Female,55 - 59,165828
2009,Scotland,Female,60 - 64,165348
2009,Scotland,Female,65 - 69,134057
2009,Scotland,Female,70 - 74,119859
2009,Scotland,Female,75 - 79,100538
2009,Scotland,Female,80 - 84,74393
2009,Scotland,Female,85 - 89,49082
2009,Scotland,Female,90+,21747
2009,Scotland,Male,0 - 4,147257
2009,Scotland,Male,5 - 9,137908
2009,Scotland,Male,10 - 14,154163
2009,Scotland,Male,15 - 19,168183
2009,Scotland,Male,20 - 24,173342
2009,Scotland,Male,25 - 29,167630
2009,Scotland,Male,30 - 34,152273
2009,Scotland,Male,35 - 39,173275
2009,Scotland,Male,40 - 44,196289
2009,Scotland,Male,45 - 49,195815
2009,Scotland,Male,50 - 54,176783
2009,Scotland,Male,55 - 59,160212
2009,Scotland,Male,60 - 64,157959
2009,Scotland,Male,65 - 69,119947
2009,Scotland,Male,70 - 74,99801
2009,Scotland,Male,75 - 79,74240
2009,Scotland,Male,80 - 84,46442
2009,Scotland,Male,85 - 89,23527
2009,Scotland,Male,90+,6924
2016,Scotland,Female,0 - 4,139711
2016,Scotland,Female,5 - 9,146570
2016,Scotland,Female,10 - 14,133997
2016,Scotland,Female,15 - 19,146046
2016,Scotland,Female,20 - 24,182279
2016,Scotland,Female,25 - 29,187975
2016,Scotland,Female,30 - 34,179608
2016,Scotland,Female,35 - 39,166485
2016,Scotland,Female,40 - 44,172709
2016,Scotland,Female,45 - 49,202829
2016,Scotland,Female,50 - 54,209262
2016,Scotland,Female,55 - 59,190084
2016,Scotland,Female,60 - 64,165146
2016,Scotland,Female,65 - 69,164057
2016,Scotland,Female,70 - 74,127150
2016,Scotland,Female,75 - 79,104331
2016,Scotland,Female,80 - 84,80217
2016,Scotland,Female,85 - 89,49691
2016,Scotland,Female,90+,29050
2016,Scotland,Male,0 - 4,147527
2016,Scotland,Male,5 - 9,152292
2016,Scotland,Male,10 - 14,140381
2016,Scotland,Male,15 - 19,152614
2016,Scotland,Male,20 - 24,181688
2016,Scotland,Male,25 - 29,186149
2016,Scotland,Male,30 - 34,172305
2016,Scotland,Male,35 - 39,161268
2016,Scotland,Male,40 - 44,164929
2016,Scotland,Male,45 - 49,189422
2016,Scotland,Male,50 - 54,197429
2016,Scotland,Male,55 - 59,180737
2016,Scotland,Male,60 - 64,156406
2016,Scotland,Male,65 - 69,153467
2016,Scotland,Male,70 - 74,111869
2016,Scotland,Male,75 - 79,82515
2016,Scotland,Male,80 - 84,56201
2016,Scotland,Male,85 - 89,28287
2016,Scotland,Male,90+,12017
